PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,sample_id,spatial,temporal,group
-1.7563101767459597,-0.5264142235377719,-0.3147993269032118,0.006931936585965569,-1.0112246862103247,0.5426197054482003,0.6848671030838588,3.3625457859717467,0.4099089772927806,-0.036882935736178596,0.988885100757482,-0.4435061362787028,0.16629570967986362,-0.6849032872120684,0.22057725635510253,-0.17956837978777174,0.42878731363427114,-0.010318752545980452,0.7981643389863466,0.48393718185574225,-0.0914827260145859,-0.4073080969355603,-0.3543976287523775,0.08384067284030765,0.08616052220256801,-0.22566297451681436,-0.15668283836274832,0.07824905965520576,0.06072587553326493,-0.05774175012570662,-0.0670621614234214,-0.0342496455711945,-0.013910617012468669,0.010681674202365283,-0.017393345217159496,0.004277293237359518,-1.8588320914836052e-4,Sde-CMat_107 ,Matnog,Contemporary,CMat
0.30042797887476197,1.488812924681736,-1.3475931865917685,1.302669075518262,-0.6088584637769645,2.1068269627046945,-1.6273663637708287,-2.373187611101748,-0.2576791684938913,0.18301891870145565,0.7295910078137677,-0.6130414351795999,0.07249779653934875,-2.0851898620470886,-2.1335003214458266,1.5968355349662662,-1.3495428145225654,-0.601744872737814,-0.6341019857380892,-0.01891557572668375,-0.3145064550755673,0.6163188864559458,0.22430022679094583,0.24120347259083402,0.04573901828374535,-0.04614998113599806,-0.102397273277722,-0.07190281908913153,-0.025890966103874615,-0.10585310359425915,0.011639544111182629,-0.022352915988863575,-0.04827156941325315,0.021646825511392895,-0.035916006036117554,0.02817859931890932,0.002777748041731284,Sde-AMat_083 ,Matnog,Historical,AMat
-0.8662653217030624,1.9789947806076014,-0.5435120317282169,0.2322713047959426,-0.7175169094345724,-0.8009479805876241,0.20933224267223025,0.8256755560132686,-0.3558705987111506,-0.187198402507605,1.1971307838610201,-0.3796682644217838,0.6586984011795434,1.5540570396774016,-0.27200970349387077,-0.25025497725915996,0.5862797390073622,0.2131531515677043,-0.6093499150156435,-0.165476346206542,-0.296740242101456,-0.19785231399281533,-0.6120538463562363,0.17536549522703418,-0.11126019332530032,0.07381121947456085,0.009377460163177408,-0.0028327149621300424,-0.017767138951929995,-0.008712129086669712,-0.04543807632930817,0.02249497938560065,-0.059306148309797316,-5.705958885589918e-4,-0.0010165903093057032,-0.0072091023848947005,-1.454389296761326e-4,Sde-CMat_118 ,Matnog,Contemporary,CMat
0.25283448612144904,2.3620614393153696,0.31673005298185314,1.5625341415011416,2.683573887797216,0.6684909489365886,2.4246657182176414,0.6808444356120759,-1.695542880222363,0.6198001802616002,-0.03131533581554734,1.4427089078817499,0.02368949940276004,0.6030756181165376,0.35530101677332276,-0.3901857597163166,-0.17956424208847205,-0.7077337533874941,-0.8655594851626692,0.2173763559416308,0.14862931685305908,-0.12667113941481495,-0.4863373659822298,0.10183183950891261,-0.11271814561250101,0.03154954951831847,-0.06575145764784598,-0.015182182156891455,-0.11037659920605593,0.01547867108932978,0.03506983039621215,-0.026642880286776364,0.036482451000714886,0.012579515047714264,7.575219988643457e-4,0.001763777622099449,7.79426188261073e-4,Sde-AMat_093 ,Matnog,Historical,AMat
1.003548125850465,2.582127526509863,0.12674727151324852,3.551445716876976,0.8203801604784545,-1.2213178471832715,2.3958321732969363,3.063949681811403,0.37186568583942436,-0.2335797234209015,1.3427371410628348,0.4469047013666375,-0.06356430970106221,2.6000030878953613,0.9880722505195081,-0.6985962773463981,0.5396856427312722,0.2526229846305529,0.7591773974586795,-0.26637995804139636,-0.47654560301406157,-0.15817424262350238,-0.07247182764458951,-0.0953438157749437,0.22010458067129698,0.16408206130183764,-0.2326711170865479,-0.022252649930137057,0.04875717163635031,-0.0368946619279269,0.0152269881142624,0.03274505030950317,0.02181740887257953,0.011698955702142447,0.015315330263999059,0.0027534117361975832,-1.2160760294919276e-4,Sde-CMat_128 ,Matnog,Contemporary,CMat
-0.06190301114692821,2.9350431749838455,0.17206235142138163,1.3111249159200218,-0.4642526132115973,-0.9455289245550201,1.9967129187438746,0.9981692883367517,-1.7326781250989285,1.3015512921675907,1.6331447108094381,0.8605409412935683,-0.14545192395552486,-1.2406835931754105,0.060796863975415734,-0.18312756983905687,-0.5870700532486501,0.2837216174739182,0.6832922498028463,-0.5307947417489339,-0.09487628156095827,0.7190609493038232,-0.10607295457965484,0.0917859764039201,0.05395020171120578,-0.21642308974411,-0.14986372772558956,-0.08045814940968969,0.03695841858487568,-0.1859553354072474,-0.03975497199238079,0.0416295919432263,-0.008838863752809083,-0.00770076240019137,0.021256262786093383,-0.0024295465115892895,-0.003332630323963757,Sde-AMat_091 ,Matnog,Historical,AMat
0.5267416253595841,0.6854278509420717,-0.7180820296562939,0.13250337683344737,0.1741197515212421,-0.419726495856346,0.7721988358666301,1.5743537397576555,-0.5034365725058251,0.4617151133904555,1.3943430013605906,-0.2381313191357582,0.7406472425614421,0.6559978043821396,0.7945323020207574,-0.13110236684341778,0.18667050229709112,-0.17782922936512255,0.10512796573478712,-0.4566203262753026,0.3239667723140956,-0.04768196692848675,-0.40514182338411125,0.26650802599010387,-0.17185716487250674,0.23704346235362064,-0.16214175956302948,0.06866849080692858,-8.233099766767145e-4,-0.021438399431533008,0.01787189959343072,-0.0153157289363364,-0.015705369118203062,0.008038336694996337,-0.01753479664361412,0.005288351134908333,-0.0019624084841437595,Sde-CMat_132 ,Matnog,Contemporary,CMat
0.15832328638562482,0.7849791939343482,2.2429108326778597,0.45112822532596586,-0.10155585006426056,0.9081191318238643,2.6637201227735257,0.37904826613153036,0.3277712542734257,1.7355784678726016,-0.6204081145812634,-0.23882729808422132,0.19505639613903109,1.5621109089905072,0.7973585713411027,0.0043877555069142885,-0.2641240183537554,0.54854716457908,0.35317887519553215,-0.5542418775646017,-0.9987474781770985,0.05182234586593009,-0.3625543233582866,-0.37276868157630233,-0.2880123322529385,-0.3174922004753571,-0.1171575946330385,-0.012966845722530157,-0.13920300156829651,-0.04987339401222735,0.0021342969351506756,-0.015188173605037903,0.01683071775723073,-0.026988055498190926,0.0011992892841946516,0.012113903004061512,0.005564547945699147,Sde-AMat_094 ,Matnog,Historical,AMat
2.510612547614126,0.5062937767849617,-0.3052880978818282,-0.5316740387925747,-1.9016543669074017,0.08060949611242069,1.135200772711987,-0.00860429396134156,0.9089054362428328,-0.5167601269891124,0.35004573191913535,2.1781680681255695,-0.5094705138679472,-0.2827225881565772,0.9949251954626821,1.0385619994365438,-0.9282524246189535,-0.20055436729711962,-0.9239360489835305,-0.6903892008411106,-0.38820581775864177,-0.8999485124411797,-0.03519984027973316,0.1845161087694666,-0.2571794406378203,-0.03176726432383466,-0.03916122888976738,-0.10350325435533596,-0.08203134488253767,0.1475470747239596,-0.03130936164288636,0.002661322961615429,0.04714746386711803,0.005712682464955108,1.4991241738579575e-4,0.021395168489426897,0.009259026716640585,Sde-CMat_123 ,Matnog,Contemporary,CMat
0.636719663817858,-15.191216900198228,-0.6625429663088611,3.4637124678894917,4.622145416896876,-0.8419675527783359,1.684239838898181,1.828846988361421,3.419776391867421,1.7490624307045015,-3.73939409443429,4.145495811915943,-1.9682199994299596,0.21497001239766053,-0.2599372356690546,-0.34146029367277303,-0.46742567377624455,0.6677020233158071,0.4312519246063825,0.4931925479996212,-0.19338891423970211,0.5770939515153576,1.006141462833608,0.5071455009025044,-0.8494057135404232,0.22735002162891943,-0.06587478249447336,0.19220399979727054,-0.18610004936091618,-0.016261342012582194,-0.10227311528668462,0.13484248722404135,-0.06259080950683485,-0.032923852462617045,-7.929224859866563e-4,0.011203689295284968,-0.0067924829006696915,Sde-AMat_088 ,Matnog,Historical,AMat
