sample_id,site,LM1-4,LM4-5,LM5-6,LM6-11,LM7-11,LM7-9,LM9-10,LM1-10,LM1-2,LM2-3,LM6-10,LM6-9,LM11-17,LM7-12,LM6-12,LM7-14,LM9-13,LM9-14,LM12-14,LM13-14,LM12-15,LM12-13,LM14-18,LM13-16,LM13-15,LM14-15,LM15-16,LM6-15,LM16-18,LM17-18,LM17-19,LM16-19,LM18-19,LM15-20,LM11-20,LM17-20,LM1-4_norm,LM4-5_norm,LM5-6_norm,LM6-11_norm,LM7-11_norm,LM7-9_norm,LM9-10_norm,LM1-10_norm,LM1-2_norm,LM2-3_norm,LM6-10_norm,LM6-9_norm,LM11-17_norm,LM7-12_norm,LM6-12_norm,LM7-14_norm,LM9-13_norm,LM9-14_norm,LM12-14_norm,LM13-14_norm,LM12-15_norm,LM12-13_norm,LM14-18_norm,LM13-16_norm,LM13-15_norm,LM14-15_norm,LM15-16_norm,LM6-15_norm,LM16-18_norm,LM17-18_norm,LM17-19_norm,LM16-19_norm,LM18-19_norm,LM15-20_norm,LM11-20_norm,LM17-20_norm,centroid_size
Sde-CMat_107 ,Matnog,138.73778629976763,143.8762364425759,158.9333410463645,109.81714334223958,103.13031896547206,192.48791206257604,231.29319329805188,259.92340582211904,159.520962749759,148.91439865053343,376.3333804361899,321.50034496183673,1689.0529899418545,573.99122873929,629.4811471816213,739.8379944303751,971.0889375639803,864.2048688813608,429.3007992774297,349.4746168014066,830.9323592858568,251.00830167588083,1039.0152554796732,727.3485804573279,596.5620460222475,551.3673873475291,174.60120376686965,1413.129289506891,354.4090406914165,122.78311069968078,135.13992721457268,291.10839921953465,182.4380937981155,220.7209841533877,1201.132341809261,487.9443115209356,0.029438636119787986,0.03052895886464541,0.03372391126565009,0.023301992981072984,0.02188312221143813,0.040843823098231286,0.04907787803225558,0.05515289501938781,0.03384859814414002,0.031598001610015906,0.07985381446445415,0.06821884592614172,0.3583985133689671,0.12179464131203492,0.13356899320929622,0.15698550543808137,0.20605441844898034,0.18337479173105473,0.09109291962144822,0.07415467949654164,0.17631473023736896,0.053261207729783426,0.22046763787109583,0.15433538881803158,0.12658392110840946,0.11699411038151536,0.037048459838215246,0.29985053137666773,0.07520171010898723,0.026053229000883974,0.0286752098950789,0.061770008478592875,0.03871136192202215,0.046834571242571094,0.25486710495604087,0.1035364295243145,4712.77900699045
Sde-AMat_083 ,Matnog,95.98431651082377,137.88200140428052,138.40957103466508,76.91360279046872,98.13215504461317,137.95026311486322,189.10942410599216,190.50262135868365,110.81621444648796,140.67041876929912,329.39857755122443,263.85672186777805,1229.1898295296012,388.47185737652865,393.26427528106336,487.99787118920915,682.2195751669178,582.3016714303506,302.0080236906463,254.2357056025176,637.1394432876763,188.62548114790846,796.1704106881957,518.2745006801321,458.4755497832029,455.52989065592624,77.78398232213361,1008.7980885733527,274.621076793024,87.07388473267969,109.76419110752835,257.04744434226535,127.33221110390728,142.95139739142112,888.2275169842129,341.22634640544686,0.02790377185791572,0.040083922565245324,0.04023729327350843,0.022359690656270626,0.02852817382912464,0.040103767048885686,0.054976337992054994,0.05538135685039936,0.03221557936211349,0.04089454835106686,0.09576004802070805,0.07670625824944796,0.3573399678206443,0.11293334656639518,0.11432655892354988,0.14186673156417903,0.1983292695563987,0.16928195753983655,0.08779729125198805,0.07390931545018502,0.1852239440093729,0.05483565007151237,0.23145612020231707,0.15066850452722438,0.13328424484994209,0.13242790703094592,0.02261272024239721,0.29326949169949035,0.07983558306990259,0.025313404342355846,0.03190974378077431,0.07472672103445187,0.037016974209601504,0.04155765571483392,0.2582182057738103,0.0991985198012428,3439.8330447786766
Sde-CMat_118 ,Matnog,115.46857073489737,147.10035815296305,153.79098657918806,94.13806865859311,112.93874609973324,164.59610748495842,220.96765071632095,232.43658590809235,130.35570283328616,165.21066268376873,341.9250894630869,288.6130246285673,1457.297143706365,485.8625875420849,532.5905688471962,579.5330985150374,835.3944377671725,699.7176753338449,338.91674208839254,301.2948880980393,712.8612816958148,217.52509707387787,946.3032992907773,647.1448186134305,511.969054973052,514.396881917659,168.09568709401793,1210.1587465578968,301.89884245490265,109.77287716444367,116.56479242532878,233.89134945912375,160.67800653792048,178.87345175908578,1035.796589150177,421.5271341599374,0.027677564255009217,0.03525963462439425,0.03686336364775236,0.022564689487000224,0.027071170814369713,0.03945332753358939,0.052965463346911,0.055714542067523014,0.03124597730977857,0.03960063507273243,0.08195869727825618,0.06917991175563701,0.34931094302862353,0.11646020124969765,0.12766079632806226,0.1389128181804613,0.20024222247162785,0.16772079879538299,0.0812376029819073,0.07221972673572737,0.17087129253849145,0.05214029075636435,0.22682683438578363,0.15511919984349695,0.12271786448388472,0.12329980930083131,0.04029216912380569,0.2900724089113094,0.07236449327620492,0.026312318943927944,0.027940326200372765,0.05606324571392008,0.03851416729258988,0.042875575778484484,0.24827818053747808,0.10103913356412196,4171.919525541317
Sde-AMat_093 ,Matnog,90.10211747484075,129.21468023045986,141.34144557237977,80.73029713570983,87.34133907514811,143.05909211388843,175.55311556121697,175.06748639367618,100.8012608541183,137.0135747815157,323.91487623982323,261.8349782344024,1166.2150153438174,381.27033675228387,385.4578587719544,488.9330973304425,678.653774585613,591.1379386670509,293.57290193956936,246.79340743992734,576.7004718683436,181.50864111168377,749.3813915108648,532.7930415276086,409.6302971016182,388.42248001660516,150.84818860046013,940.1566272291283,232.89978044448642,86.61849476156914,98.89815224846208,194.63764069493342,129.41696567683852,162.606643349065,791.6058566022487,375.0140675761379,0.026401022739565183,0.0378614821344524,0.041414772739845736,0.023654964724295967,0.02559208089278186,0.04191806419038871,0.05143921059599266,0.051296915308661366,0.029536002644216686,0.04014665365046466,0.09491102154928718,0.07672085194124602,0.3417152671013729,0.11171687317259146,0.1129438683549702,0.14326337918031115,0.19885385868017502,0.1732106480774589,0.08602045187218736,0.07231348767819636,0.16898029367584538,0.053184252442848697,0.21957791572889235,0.15611487941757002,0.12002668851389033,0.11381253864916253,0.04420036475363649,0.27547739376002933,0.06824248499233722,0.025380278665544608,0.028978368539914735,0.057031209942398055,0.037920754245024245,0.0476457358492353,0.23195020057952173,0.1098837097640801,3412.8267818887043
Sde-CMat_128 ,Matnog,106.24684002802154,140.0492628407947,160.63129457054742,88.38865195017964,81.85971369391666,156.71571718002627,203.36997094765493,217.04885462070516,124.81600332733781,159.68210108327727,331.91919856181863,257.3638771609761,1288.7145353464941,413.5820793173949,448.23502014661904,565.943075469627,725.0414033620493,674.5237674626223,344.5699842343206,273.971883139055,638.0658217563531,184.59595800731938,792.6651265529789,623.868762930987,469.7047885845002,389.95510114459347,190.87375041291037,1050.8867125535703,254.13778345261835,98.5013624119483,108.03766304974391,196.070611588504,140.45629956239057,175.09770188580436,889.9952787181795,398.7192580174176,0.026430176411430563,0.0348389347127573,0.03995896208843788,0.021987737830091263,0.020363586092055037,0.038984915225897886,0.050590720698294636,0.053993507157588896,0.03104947861076328,0.03972283881822566,0.08256888364882954,0.06402235279186033,0.32058320514943667,0.10288350518549128,0.11150384004956537,0.14078513129938536,0.18036274953114942,0.16779588139315935,0.08571591839338516,0.06815379357378806,0.15872652990599118,0.045920459692577374,0.1971849621547214,0.1551948411594937,0.11684470258416974,0.09700601084296338,0.04748213588652675,0.2614206803128806,0.06321982326901322,0.02450339590925647,0.026875665127831825,0.04877491746591705,0.03494018998166574,0.04355765450395828,0.2213970054606604,0.09918620003433229,4019.906578530128
Sde-AMat_091 ,Matnog,99.44494912467901,134.56892292461143,143.92591761420175,89.57737649680303,85.24809623029715,145.54044705939992,204.6653248595864,202.33832927179165,115.00534669240385,133.96768319956868,330.6553278718037,260.2351514955849,1267.5251431241904,398.17400284379437,427.9539260605164,507.5149081501449,722.6869063798306,609.2510840483585,294.5001049440221,228.90778339298552,643.252840573938,222.74982653472495,819.9186273118816,546.0695183707749,431.50953761914695,438.3322644204965,144.117414336228,1042.00531677122,264.0609456992079,93.95575202189607,101.64902881528181,224.88609808969946,120.35561423087002,166.45617642878258,876.17680156092365,391.4017941538974,0.026826793229166198,0.03630202139119257,0.03882621355975944,0.02416486486687278,0.02299697542087335,0.03926175752624514,0.05521159595852903,0.054583853373023905,0.03102444803001099,0.036139827796376,0.08919932273098907,0.0702024050651384,0.3419342583677118,0.10741351609650576,0.11544710502734053,0.1369098945849268,0.19495582608796558,0.16435478121587732,0.0794458993728861,0.061751369251859006,0.17352727413551827,0.06009016637725584,0.22118556722333307,0.14731058929616034,0.11640628552797133,0.11824682024361001,0.03887787272406169,0.2810968422505447,0.07123447145907118,0.02534599850840193,0.027421377374875537,0.0606664582431685,0.032467764379795636,0.044904094839185456,0.236362068607403,0.1055866094126796,3706.9264401144324
Sde-CMat_132 ,Matnog,113.69019072268281,149.4390302063354,147.88097596124388,98.80019217536974,104.17540599748098,161.13750181075173,213.91461227379955,230.68299270767665,131.34493428617645,154.23971805374904,354.1819200448407,292.4206921496835,1456.7481055451765,476.062623021604,511.69202796262124,618.7119181533519,830.9705655790463,732.5539050718453,358.16885527752135,299.05746672880446,749.3978598877636,224.6217141920167,921.4936315194802,680.7121948226651,546.4873251640884,499.42510770509926,172.58769368842593,1227.0934990815413,298.74221140883316,114.34848961398643,116.13926328374035,229.15321470712558,158.91198502784488,203.68554106700847,1029.854058560246,426.8965076845324,0.027763582570303008,0.03649358689598733,0.036113104046872194,0.024127387560758187,0.025440035484335332,0.03935039873059671,0.05223877243151695,0.05633367553429903,0.03207493896408543,0.03766593336315995,0.08649258937439268,0.07141025958489405,0.35574349955212736,0.116256326591405,0.12495716454165161,0.15109183402446305,0.20292621346040457,0.17889248581058367,0.08746621431803432,0.07303098550554422,0.18300584446861343,0.054853487969466715,0.2250322949066449,0.16623254044555513,0.133454310168468,0.12196153535598357,0.04214657969942849,0.2996609599005207,0.07295399894187402,0.027924341695681098,0.02836165552485931,0.05596009785303599,0.03880691895832202,0.04974079383492909,0.25149432865270455,0.1042497718117455,4094.939492581559
Sde-AMat_094 ,Matnog,93.04298525052812,133.3158023692991,146.22840901770755,83.36457446565659,86.38034861298024,158.55910407037499,182.83154857291453,197.2690187662523,112.0560072164808,139.03976933417283,323.7075242641882,265.98704728813385,1268.3262816807867,414.22309033623407,444.9918607317217,549.5535483224361,760.6579776195409,657.0651019809985,323.336051743631,262.4676946458173,646.9164878144938,223.5292388612506,793.1978084715627,577.4984529332091,434.5260114320086,444.41864574515773,168.94736978763527,1070.4844857275607,198.3697396359888,86.15218800332342,121.52390858905078,175.14714906686316,131.65354063222145,168.15310895728334,897.1752650457769,371.4566342660338,0.024817731569404724,0.035559862876844824,0.039004094645619596,0.022236169937105206,0.023040579566275008,0.042293110782164405,0.048767398022361054,0.05261836280852697,0.029889151775921913,0.037086639723738504,0.08634381649034191,0.07094780033939203,0.3383057961480906,0.11048739932552401,0.11869447783165486,0.1465846394390349,0.20289337722620934,0.1752616307471218,0.08624473212330688,0.07000906918260563,0.1725546498661065,0.05962285746781088,0.21157285784718097,0.15403849680931794,0.11590287954117924,0.11854158188114554,0.04506401489007136,0.28553465416510876,0.05291196253562523,0.022979721364553212,0.03241456338172276,0.04671770707897888,0.03511648108424857,0.04485215848810092,0.23930718515385602,0.09908012962037506,3749.0527685951533
Sde-CMat_123 ,Matnog,90.17891786897864,146.73644795295408,159.18545425766766,95.60160147330163,104.28544178398056,144.0000277822543,188.39257947047696,217.18857956959891,128.01767330056427,141.3065467245237,342.412846361304,287.77729035483327,1414.0096883328804,471.24041999821065,488.2354465786051,608.7559951479576,776.5142519086304,705.9578468784451,353.25980586600855,294.6157367495667,735.8337192362145,190.40296390014515,901.553410317991,678.9242992038288,552.3559952669657,535.5299656094792,141.3049519417135,1207.750085938399,244.87477071727915,88.41870829417284,106.10190217243989,200.4206408775303,133.21180152313832,188.01507489943472,1007.9947238205217,406.4819850290538,0.02147926106465157,0.03495041355298151,0.03791557950011492,0.02277086268907432,0.024839222761301148,0.034298639450807925,0.04487227716536495,0.05173105101587199,0.030491883143986962,0.033657092799119936,0.08155758676956694,0.06854421958123579,0.3367958272439683,0.11224237598485896,0.11629033554511177,0.14499651640810754,0.18495400844575458,0.16814853462504936,0.08414116927936992,0.0701730345954336,0.1752645177957399,0.04535112048069385,0.21473645416861317,0.16170955041756052,0.13156288524333534,0.12755517820675483,0.03365671294585566,0.28766789411264476,0.0583254850765122,0.02106000563467752,0.025271876288525806,0.0477371803729985,0.03172904631618246,0.04478236125789868,0.240089173127905,0.09681789137458988,4198.41807395256
Sde-AMat_088 ,Matnog,70.41462733679701,86.54522102952885,142.9619193593175,89.67593702465555,96.46687297191717,141.77056840151977,157.91283749857075,217.08986863223257,91.03011895197103,113.85477360304225,320.4917468886367,268.363446224183,1279.9119595386003,408.6929572692561,435.1369760847726,890.805712162585,728.94546556226,987.5109958661626,601.0653272394442,409.6137160362188,702.2081419229629,217.0671318211488,487.2975626626506,603.060105609018,493.9332624118769,144.5513659369567,128.39144625028567,1115.3605512943786,226.5603819025736,93.82060757685386,108.11459829440255,183.24937280004545,140.4617583119691,184.24898824102124,898.457121476195,381.4912093590754,0.01979225798049919,0.024326271491898168,0.040183968819618866,0.025206258235885976,0.02711506555733024,0.03984910195468091,0.044386397207715846,0.061019973369602326,0.02558689389457889,0.03200248494796969,0.09008434149201144,0.0754320339550981,0.35975973535084144,0.11487608116416391,0.12230900898375584,0.2503891184610533,0.20489317708259575,0.27757119689461124,0.16894841980707961,0.11513488953598652,0.19737780666607826,0.061013582469761705,0.1369703914977272,0.16950911535568608,0.1388355647761376,0.04063073304888032,0.03608847653940648,0.3135073578803705,0.0636819606433229,0.026371248975962203,0.030389027135880722,0.05150803175987028,0.03948121948594377,0.05178900529388406,0.2525397890358619,0.10723016961820513,3557.6854043724957
